"","D-Sas4_1","D-Sas4_2","D-Sas4_3","D-Ssas6_1","D-Ssas6_2","D-Ssas6_3","SakOE_1","SakOE_2","SakOE_3","w67WT_1","w67WT_2","w67WT_3","OregonRWT_1","OregonRWT_2","OregonRWT_3"
"CG14566",5.782183121,5.814282769,6.374815794,5.969138162,5.609646702,5.814891418,4.966893652,5.242154884,4.213346656,5.655097996,5.930663543,6.662219563,6.28508785,5.973133715,5.831628938
"nAChRalpha4",5.126854547,5.155359904,5.309025391,6.259266858,6.160880722,5.474409414,5.392947382,5.201915238,5.201760603,5.494398348,5.157130439,5.097106608,4.767975122,4.592009869,4.237025794
"CG14642",5.16572398,3.83665785,4.032142649,2.684395658,2.471327157,2.49417931,2.830703389,2.75954017,2.967891868,3.186375263,3.055645464,2.949335219,2.497108845,2.430648276,2.533461264
"CG1092",6.509956177,4.41553673,4.37869999,3.351290165,3.416021844,3.428880335,3.833015113,4.415724272,4.568674231,3.582318563,3.567158115,4.219325624,2.995263554,2.979373757,3.033638612
"rpk",4.987962735,4.754597114,6.080671543,4.496292103,3.96451828,4.480034555,5.638539231,6.281188781,6.982985099,4.814836117,4.931618761,4.8889181,4.931097442,4.539959965,4.67751998
"Cdep",3.588640873,3.011598804,3.236811773,4.673177977,4.360035352,3.43897267,3.096797863,3.166981767,3.07256992,3.226252954,3.259248517,3.230251349,2.807901911,2.89399012,2.805135149
"CG14662",3.472378815,3.520327925,3.420225997,3.463406205,3.300537535,3.336044489,6.595898567,6.121688658,5.91463981,3.53692671,3.92326478,4.331294327,3.597199779,3.563011116,3.505811754
"CG11999",9.803268026,9.69779215,9.642002814,9.78849374,9.665324473,9.730898808,5.81212909,5.5125802,5.470761861,9.843427005,9.831567409,9.806780589,9.767722236,9.955301779,9.878048034
"NKCC",8.490953361,8.155845485,8.423968244,7.927733942,7.887718319,7.737586657,8.423775018,8.458126349,8.403466698,8.879449375,8.718715477,9.023803133,8.188629194,8.354751278,8.468207558
"CG31559",4.92295791,4.923090478,5.060541155,5.299488394,5.720950854,5.342627083,5.144120407,5.476366126,5.932564722,6.272256217,5.105158661,5.285974164,6.381891552,6.414931077,5.84389195
"Mlp84B",3.325313262,2.956956999,3.235238302,3.4527792,3.450322911,5.43368323,2.913959971,3.523486988,3.192794761,3.151239179,2.963606265,3.42651265,2.933785131,2.84196075,2.89716467
"CG31248",5.189637814,4.087253079,4.503815952,3.158360563,3.154884098,3.22535598,2.557705505,2.648275874,2.873126163,3.7997531,3.537381164,4.254846959,3.068794167,3.23556103,3.164837907
"gfzf",5.718522468,6.039184406,5.923814271,4.937241551,4.646138147,4.644759111,4.780635048,5.159167486,5.009367955,5.395562922,5.913765343,6.602177787,5.571463583,5.608934181,5.253455592
"Sas-4",4.663498504,4.772519374,5.098978803,7.621379416,7.33573044,7.826493746,7.59369229,7.495892863,7.417931462,7.443261367,7.616104829,7.790388829,7.704127011,7.759180723,7.583342766
"lap",6.880390019,6.430462283,6.89776376,7.905916125,7.861856275,7.443522756,6.249324778,6.341943891,6.3905703,6.355958532,6.028939856,6.525596618,6.157908633,6.261228455,6.205901916
"Gld",6.229117374,6.717978434,6.680485589,5.97377249,5.898799787,6.26288343,5.40250855,5.479497841,5.319204128,6.370954004,6.655799683,6.353796893,6.378811146,5.669431584,5.720038536
"CG2993",5.253620244,4.077192001,4.772559321,4.017826393,4.019868716,3.970710452,5.75237888,5.695651006,4.686525654,3.978768261,3.978960877,3.999082395,3.598434877,3.599443945,3.598434877
"CG10445",2.549846143,2.603325594,2.591869115,2.378264332,2.378264332,2.378264332,3.385886678,3.371770216,3.371770216,2.57965159,2.57965159,2.888594738,2.376474709,2.376474709,2.376474709
"CG7900",7.352637962,7.571902743,7.42382867,7.763289717,7.737880011,7.963657088,2.192624014,2.346856749,2.180955343,7.993295168,7.794538214,7.842533627,7.727244714,7.811469692,7.801545279
"Coq2",6.712498166,7.124200071,6.75097747,6.957818063,6.947223474,6.840459078,5.81466975,5.758715717,5.732447971,6.865903427,7.087250226,6.92852487,6.71992481,6.786903255,6.951389282
"ouib",5.958132062,6.44758869,6.848617558,6.061318063,5.981408094,6.051643954,5.485653759,4.992828301,5.195352473,6.244626835,6.115679252,6.403419033,5.387712309,5.357218719,5.426815205
"CG8420",7.562016055,6.561086231,7.009231677,7.513246856,7.852182902,7.448969879,8.410980178,8.64973245,8.944462814,7.739841482,7.470773991,7.594637616,7.981612693,7.736584815,7.654655942
"CG8301",3.476220295,3.644982951,3.471298029,4.47279182,4.031025758,4.472033557,5.272538777,4.975670399,5.043152379,3.918366846,3.86726272,3.851991676,3.511474577,3.326378897,3.295949609
"alphaTub85E",5.946165622,5.944149943,5.865515239,6.319495333,6.45578198,6.336963835,8.276788522,8.62637915,9.19339434,6.118978545,5.956190203,5.85033198,6.04817939,6.388724805,6.168535102
"CG12947",5.421768926,5.660877405,5.58055666,3.372302869,3.261000856,3.386192604,3.915154364,3.902331993,4.108093124,3.703769425,3.525938,4.485533603,3.772204882,4.154202317,3.893036278
"MtnA",12.96291899,13.0174648,12.98292399,11.50335771,11.40412944,11.50421166,12.5849051,12.70370728,12.48070911,11.7828051,11.80418373,12.05817696,11.04745115,11.34285907,11.19611593
"CG8516",6.215587006,6.50225902,6.518185293,5.529330153,5.236890164,5.40567003,5.447412752,5.609092915,6.246482131,6.344622765,6.252125424,6.738986893,5.964027853,6.184171531,5.763784789
"gammaSnap2",4.721784647,4.445936676,4.75695496,4.258571164,4.213155007,4.301252069,4.485502868,4.533605574,4.095834036,4.419387188,4.446091589,4.308701355,3.545781793,3.746384812,3.561643495
"CG6293",6.105930502,6.256916246,6.175569046,5.301664327,4.673233112,5.195929672,5.44797894,4.131242701,4.431344275,5.84143459,5.336208591,6.010995165,5.297535741,4.577586541,5.450127128
"Cyp12e1",7.093356008,7.192389977,7.321018548,6.775522067,6.467588626,6.968191517,8.005269981,7.888165151,7.750437365,7.193516954,6.906467988,7.224944737,6.626481279,6.357985915,6.842884191
"TkR86C",4.170359503,4.212133974,4.213144388,3.202167605,3.29909016,2.900737195,2.511739159,2.444299236,2.556195719,4.271103175,4.125607957,4.359822725,3.971408055,4.213476725,3.978143042
"MED7",9.649463779,9.658799896,9.60002376,10.64086192,10.52921336,10.63523398,9.570602864,9.62670357,9.512781251,10.68764323,10.74467663,10.75251717,10.49470884,10.65053996,10.58698588
"Cap-H2",6.415252262,6.79022417,6.877429672,7.499030417,7.34883138,7.482759882,6.268619924,6.214713394,6.288607155,7.706525107,7.630148114,7.924540395,7.801995174,7.53424807,7.667043677
"TfIIFbeta",10.33889061,10.22373727,10.33712662,11.36948604,11.26868992,11.33398488,10.27653936,10.1881276,10.14312789,11.33708155,11.35782847,11.35831715,11.25701254,11.38112536,11.38928314
"Rbp1",7.411877806,7.712053868,7.64899677,6.263884764,6.233117939,6.281336582,7.435322525,7.487907386,7.512526282,6.589641936,6.360200568,6.497693551,6.331406002,6.333478572,6.460289347
"CG14687",10.68382448,9.758275919,10.16617429,7.804062968,7.994500031,7.715230228,10.66213276,11.11521764,11.11483799,8.29377497,7.966274475,7.988888878,7.982662651,7.764355907,7.76160954
"sals",3.357726675,3.395748457,3.359218669,3.807847926,3.732760383,3.755972713,4.122147417,4.523729161,4.278577584,3.360225122,3.571790025,3.068849384,3.080117623,2.974320197,3.067184738
"svp",8.973643314,9.00623166,8.998790237,9.038775945,9.228085018,8.880052016,7.509559288,7.383385251,7.402766387,9.008236486,8.917791131,8.898103774,8.965866662,8.851497705,8.603607152
"CG4115",7.802441447,7.763347957,7.646780941,7.783853375,8.08797442,7.866042604,6.695729533,6.501367767,6.298720324,7.736694126,7.708769413,7.645026743,7.70921642,7.867430842,7.74200938
"DNAlig3",8.333990888,8.287521051,8.342482431,6.879044262,6.813780742,6.923459883,6.907391787,6.896984788,6.826404855,7.354785526,7.180116805,7.257396947,7.212722123,7.170850786,7.093516355
"Cyp9f2",7.741277169,7.839868918,7.806866186,6.305241071,5.928190554,6.392132144,6.897643513,6.594158622,6.514672936,6.31262177,6.264234105,6.748898129,6.202784363,6.004322581,6.421512796
"pps",5.63905983,5.843141008,5.966144205,4.374043524,4.513878192,4.761012991,4.897657224,5.083663723,5.249376474,5.437418251,5.820949699,5.807512086,5.004709874,5.249512991,5.166988927
"NijC",4.873903279,4.499451446,4.886521483,3.551652778,4.037831128,3.786754036,4.723384459,4.716116117,4.830281374,4.806125598,4.923528665,4.714271653,4.142766699,4.401089362,4.767324451
"Past1",9.627619999,9.471709806,9.528207055,9.443594126,9.346721363,9.663426349,10.76913817,10.8576972,10.78593154,9.445078025,9.387561746,9.336819241,9.466477339,9.572789754,9.252231168
"CG10126",9.265686474,9.281874021,9.25998547,9.611724516,9.939041599,9.693526904,8.812264497,8.684021825,8.658436169,9.673443733,9.742259381,9.823918957,9.247362674,9.382405582,9.410894338
"yellow-f",5.797702476,3.451048715,3.596939533,2.745902695,2.929362724,2.929362724,3.014546221,3.274818111,3.99735938,3.813795618,3.912672839,3.32127379,2.867437848,2.866942388,3.086325477
