"","D-Sas4_1","D-Sas4_2","D-Sas4_3","D-Ssas6_1","D-Ssas6_2","D-Ssas6_3","SakOE_1","SakOE_2","SakOE_3","w67WT_1","w67WT_2","w67WT_3","OregonRWT_1","OregonRWT_2","OregonRWT_3"
"1623776_s_at",8.536464864,7.815127571,8.322998725,6.660243223,7.926245412,7.768984475,7.74550952,8.138697905,8.305859972,8.073169726,7.594068127,7.851573961,8.024809962,8.05213809,7.891420027
"1625095_at",12.52882483,12.47396849,12.47418961,12.08569649,11.96552591,12.13408741,12.4214447,12.45375169,12.37043171,12.20331196,12.18929507,12.30712099,12.18777423,12.18175333,12.22221275
"1636865_at",6.040802561,6.086307901,5.82800373,4.582797084,4.633127106,4.572684387,5.858572804,5.983740175,5.850805198,5.13381922,5.334623036,5.254840952,5.19536895,5.138593691,4.660435107
"1634016_at",6.670189596,6.163093065,6.545772793,6.36823215,6.435893992,6.385489995,6.231991472,6.213117922,5.94801016,6.341558431,6.474662821,6.364214892,5.244867618,5.697414781,5.572114189
"1623673_at",7.876038168,7.888067931,7.807016491,7.749253398,7.61146163,7.584187725,7.675972328,7.578665586,7.594678401,7.958032394,8.072438925,7.985344325,7.94143675,7.905598394,7.936917073
"1629748_s_at",8.322043755,8.30073514,8.266448195,7.671875191,7.505439117,7.503787084,7.967331377,7.766653575,8.079687214,8.306429887,8.1006741,8.506507642,7.922384834,8.047824327,7.828202446
"1633751_at",9.668618013,9.5254561,9.585589088,9.555922843,9.571837636,9.602202542,9.281007657,9.276200399,9.274318533,9.849901287,9.653722724,9.757287563,9.68970857,9.720373905,9.729771087
"1637074_at",6.086125599,6.142748649,6.235037262,5.620946188,5.479761057,5.662126014,6.236080003,6.031896721,6.082263687,6.162796294,6.074463168,5.987369662,6.054470915,5.983582177,5.970147537
"1639186_at",4.005748866,4.469978573,4.463499151,3.839348161,4.46823432,4.415793917,4.692219858,4.512321099,3.915769689,4.886076127,4.469978573,4.555073887,3.879584314,3.712589332,3.95515669
"1623486_at",7.352637962,7.571902743,7.42382867,7.763289717,7.737880011,7.963657088,2.192624014,2.346856749,2.180955343,7.993295168,7.794538214,7.842533627,7.727244714,7.811469692,7.801545279
"1631765_at",9.510568667,9.616095596,9.659413221,9.22142429,9.444605964,9.210204828,9.061845858,9.051689199,9.115739591,9.506137186,9.701979562,9.44999332,9.403473572,9.082277534,9.212691958
"1629715_at",10.37423799,10.13864172,10.28007134,10.14417727,10.06819798,10.14205489,10.60522837,10.61313149,10.55248355,10.24775096,10.2011888,10.24223777,9.966487845,10.15403804,10.06677354
"1632681_at",9.240852045,9.622130822,9.137432783,9.036487991,9.773306413,8.988610295,9.30788541,9.190252771,9.448944978,9.179540041,9.128769444,8.680244857,8.915339907,8.896276842,8.692910093
"1638964_at",7.992188141,8.17112062,8.320116736,8.40781608,8.354461523,8.467158252,8.387494558,8.128503342,8.055449566,8.644087325,8.619039301,8.336138812,8.439611432,8.366986544,8.383225212
"1636289_s_at",6.25544275,6.424897644,6.471749264,5.921044422,5.618873596,5.310939462,5.847904324,5.849917617,6.112180316,6.266247005,6.489345002,6.689430639,6.151784255,6.159902622,6.218025552
"1640558_a_at",9.928115743,10.05903395,10.09971095,10.12737455,9.899354833,9.871286707,9.857388121,9.710910395,9.738455301,10.07503138,10.06882083,10.09529002,10.05336866,9.760740674,9.937938444
"1625321_a_at",8.205237113,8.058347545,8.291443636,7.925363494,8.18898865,8.028251549,7.141427338,7.096690955,7.250346178,7.910080398,7.834099793,7.943419831,7.528308588,7.320832313,7.359497087
"1627380_at",11.12934895,11.228829,11.17734622,10.6684419,10.60668714,10.82165055,11.04533285,10.953994,10.86258313,10.54917458,10.48380676,10.72222926,10.68920448,10.54370692,10.69068477
"1639024_at",7.375430914,7.361511915,7.289444226,7.390222256,7.164852109,7.228152333,6.638413251,7.047122643,6.756122375,7.256158132,7.144003454,7.343169473,7.248299674,7.348974984,7.262447673
